group	proportion	mean	SD
Younger Females	0.11	16.40	2.88
Older Females	0.89	35.42	11.92
Younger Males	0.22	17.32	5.69
Older Males	0.78	37.26	11.45
Younger Both sexes	0.11	16.31	2.96
Older Both sexes	0.89	35.39	11.10
